Company Name,,LTP (Last Traded Price),52 Week High,52 Week Low
JSW Energy,,683.6,668.85,251.55
Jindal Steel,,1052.45,"1,085.95",534.20
Jindal Stainless,,812.4,841.00,317.05
JSW Infrastructure,,300.4,299.95,142.20
Jubilant FoodWorks,,530.65,586.95,421.05
JK Cement,,4326.7,"4,575.00","3,030.25"
J B Chemicals and Pharmaceuticals,,1854.3,"1,940.00","1,071.80"
Jupiter Wagons,,689.75,727.85,135.55
Jyoti CNC Automation,,1184.15,"1,224.00",368.00
JBM Auto,,2062.75,"2,428.35",949.85
Jindal SAW,,560.75,598.00,228.30
Jyothy Laboratories,,450.6,554.00,204.30
Jai Balaji Industries,,921.4,"1,314.00",72.50
Jaiprakash Power Ventures,,19.78,24.00,5.85
J&K Bank,,122.4,152.50,54.90
Jubilant Pharmova,,756.25,775.00,318.75
JK Tyre & Industries,,398.75,553.95,188.00
JK Lakshmi Cement,,825.5,999.90,607.20
Jio Financial Services,,357,394.70,202.80
JSW Steel,,921.15,928.95,723.00
JSW Energy,,683.6,668.85,251.55
Jindal Steel,,1052.45,"1,085.95",534.20
Jindal Stainless,,812.4,841.00,317.05
JSW Infrastructure,,300.4,299.95,142.20
Jubilant FoodWorks,,530.65,586.95,421.05
JK Cement,,4326.7,"4,575.00","3,030.25"
J B Chemicals and Pharmaceuticals,,1854.3,"1,940.00","1,071.80"
Jupiter Wagons,,689.75,727.85,135.55
Jyoti CNC Automation,,1184.15,"1,224.00",368.00
JBM Auto,,2062.75,"2,428.35",949.85
Jindal SAW,,560.75,598.00,228.30
Jyothy Laboratories,,450.6,554.00,204.30
Jai Balaji Industries,,921.4,"1,314.00",72.50
Jaiprakash Power Ventures,,19.78,24.00,5.85
J&K Bank,,122.4,152.50,54.90
Jubilant Pharmova,,756.25,775.00,318.75
JK Tyre & Industries,,398.75,553.95,188.00
JK Lakshmi Cement,,825.5,999.90,607.20
Kotak Bank,,1717.2,"1,987.75","1,543.85"
KEI Industries,,4799.7,"4,889.00","2,115.00"
Kalyan Jewellers,,400.5,449.70,112.25
KPIT Technologies,,1479.95,"1,764.00",961.00
