Company Name,LTP(Last Traded Price),52 Week High,52 Week Low
Indraprastha Gas,482.60,501.00,375.70
Jio Financial Services,357.00,394.70,202.80
JSW Steel,921.15,928.95,723.00
JSW Energy,683.60,668.85,251.55
Jindal Steel,"1,052.45","1,085.95",534.20
Jindal Stainless,812.40,841.00,317.05
JSW Infrastructure,300.40,299.95,142.20
Jubilant FoodWorks,530.65,586.95,421.05
JK Cement,"4,326.70","4,575.00","3,030.25"
J B Chemicals and Pharmaceuticals,"1,854.30","1,940.00","1,071.80"
Jupiter Wagons,689.75,727.85,135.55
Jyoti CNC Automation,"1,184.15","1,224.00",368.00
JBM Auto,"2,062.75","2,428.35",949.85
Jindal SAW,560.75,598.00,228.30
Jyothy Laboratories,450.60,554.00,204.30
Jai Balaji Industries,921.40,"1,314.00",72.50
Jaiprakash Power Ventures,19.78,24.00,5.85
J&K Bank,122.40,152.50,54.90
Jubilant Pharmova,756.25,775.00,318.75
JK Tyre & Industries,398.75,553.95,188.00
JK Lakshmi Cement,825.50,999.90,607.20
Kotak Bank,"1,717.20","1,987.75","1,543.85"
KEI Industries,"4,799.70","4,889.00","2,115.00"
Kalyan Jewellers,400.50,449.70,112.25
KPIT Technologies,"1,479.95","1,764.00",961.00
KPR Mill,851.95,928.15,615.00
Kudremukh Iron Ore Company,461.60,577.35,184.50
Kaynes Technology,"3,797.85","3,775.00","1,461.10"
Kansai Nerolac Paints,282.90,357.30,251.85
KEC International,935.50,871.20,543.25
Kajaria Ceramics,"1,284.40","1,523.80","1,110.35"
Kalpataru Projects International,"1,220.20","1,342.60",516.00
Kirloskar Oil Engines,"1,339.20","1,379.00",382.10
Karur Vysya Bank,208.28,218.00,114.10
KSB,"4,748.15","5,190.00","2,013.35"
Krishna Institute of Medical Sciences,"2,036.70","2,356.40","1,599.45"
Kirloskar Brothers,"2,180.00","2,069.00",564.20
KFin Technologies,715.55,822.00,335.10
KPI Green Energy,"1,834.90","2,109.15",424.70
KNR Constructions,388.70,407.00,235.00
Kirloskar Pneumatic Company,"1,383.65","1,420.05",541.05
LIC of India,"1,066.85","1,175.00",595.05
Larsen & Toubro,"3,687.80","3,919.90","2,340.00"
LTI Mindtree,"5,032.55","6,442.00","4,513.55"
Linde,"9,262.40","9,935.05","4,280.00"
Lupin,"1,604.10","1,728.00",809.95
L&T Technology Services,"4,845.80","5,873.35","3,755.25"
L&T Finance,181.87,179.18,108.55
LIC Housing Finance,731.65,726.00,370.00
Lloyds Metals & Energy,723.40,750.00,492.00
Laurus Labs,434.90,471.00,328.15
Lakshmi Machine Works,"16,129.20","17,794.15","12,208.00"
Lemon Tree Hotels,150.18,158.00,89.90
Latent View Analytics,506.60,567.10,331.50
LT Foods,263.94,260.79,160.00
Lloyds Engineering Works,70.60,73.20,22.46
Laxmi Organic Industries,251.96,320.95,220.00
Lux Industries,"1,463.15","1,719.55","1,071.75"
LG Balakrishnan & Bros,"1,255.25","1,425.00",805.60
La Opala RG,317.25,479.75,290.40
Lumax Auto Technologies,531.65,528.40,332.35
Maruti Suzuki,"12,845.20","13,073.95","9,254.15"
Mahindra & Mahindra,"2,928.60","2,886.00","1,366.00"
Macrotech Developers,"1,557.10","1,552.50",621.00
Mankind Pharma,"2,240.60","2,490.00","1,524.10"
Max Healthcare Institute,927.90,914.80,508.50
Marico,619.35,667.20,486.30
Muthoot Finance,"1,770.00","1,810.95","1,140.50"
