Company Name,LTP(Last Traded Price),52 Week High,52 Week Low
Nippon Life India AMC,640.70,657.00,243.00
IRB Infrastructure Developers,66.46,78.15,24.95
The New India Assurance Company,241.77,324.70,113.90
LIC Housing Finance,719.30,726.00,370.00
Motilal Oswal Financial Services,657.55,722.00,166.76
Sona BLW Precision Forgings,651.90,718.85,488.10
Mangalore Refinery & Petroleum,217.31,289.25,65.00
BSE,"2,736.20","3,264.70",564.65
Fortis Healthcare,483.00,489.00,284.30
Lloyds Metals & Energy,720.60,750.00,492.00
M&M Financial Services,293.30,346.55,237.35
Gujarat Fluorochemicals,"3,290.75","3,920.00","2,476.00"
AIA Engineering,"3,825.80","4,630.00","3,100.75"
Endurance Technologies,"2,551.10","2,585.00","1,510.15"
Dalmia Bharat,"1,901.80","2,430.70","1,651.40"
Coforge,"5,273.25","6,847.45","4,287.25"
Jubilant FoodWorks,532.60,586.95,421.05
Blue Star,"1,687.80","1,698.40",701.70
Glenmark Pharmaceuticals,"1,224.85","1,232.50",621.80
Global Health,"1,277.40","1,513.90",627.25
NALCO,186.56,206.30,80.65
Indraprastha Gas,487.05,501.00,375.70
Max Financial Services,987.80,"1,092.00",668.30
Apar Industries,"8,511.95","8,679.90","2,925.00"
Poonawalla Fincorp,436.10,519.70,332.10
Aditya Birla Fashion,326.90,333.90,192.95
Carborundum Universal,"1,737.50","1,800.00","1,025.60"
ZF Commercial,"17,373.35","18,250.00","11,684.05"
Deepak Nitrite,"2,411.05","2,619.80","1,900.20"
JK Cement,"4,241.95","4,575.00","3,030.25"
Hindustan Copper,335.90,415.80,112.25
Tata Investment Corporation,"6,410.50","9,756.85","2,280.00"
Timken,"4,294.15","4,398.80","2,524.50"
NLC India,232.49,293.75,95.80
Tata Motors DVR,666.05,712.60,294.40
Motherson Sumi Wiring,72.62,74.80,55.35
Brigade Enterprises,"1,362.75","1,440.00",550.10
Bandhan Bank,194.23,263.10,169.15
Emami,706.40,762.00,373.70
SKF India,"6,199.40","6,380.00","4,024.50"
Metro Brands,"1,128.65","1,441.20",929.00
Gland Pharma,"1,855.80","2,194.00",971.00
Ajanta Pharma,"2,420.35","2,540.00","1,386.60"
IPCA Laboratories,"1,199.80","1,374.60",691.20
CRISIL,"4,152.35","5,268.50","3,660.70"
Apollo Tyres,476.70,557.90,365.00
Star Health Insurance,516.90,675.00,454.80
Grindwell Norton,"2,711.75","2,777.00","1,875.20"
Sun TV Network,759.30,792.60,423.00
Aegis Logistics,841.10,887.65,664.75
ITI,305.95,384.30,106.40
KPR Mill,859.35,928.15,615.00
J B Chemicals and Pharmaceuticals,"1,885.35","1,940.00","1,071.80"
Delhivery,393.40,488.00,354.20
Jupiter Wagons,700.00,727.85,135.55
Tata Chemicals,"1,116.30","1,349.00",933.00
Godrej Industries,834.45,990.00,468.50
360 One WAM,782.15,900.95,419.85
Syngene International,696.60,860.25,607.65
NBCC,155.19,176.85,38.20
Vedant Fashions,"1,148.25","1,487.90",886.05
Bayer Crop Science,"6,134.10","6,201.25","4,141.00"
Crompton Greaves,425.05,426.40,261.25
Paytm,428.05,998.30,310.00
Sundram Fasteners,"1,291.40","1,340.70","1,003.05"
EIH Hotels,426.90,502.20,203.30
Gillette,"7,777.80","7,999.00","4,482.10"
Ircon International,267.85,301.45,79.00
Narayana Hrudayalaya,"1,226.55","1,444.90",936.55
Amara Raja Energy & Mobility,"1,340.65","1,538.60",599.00
Aarti Industries,675.25,769.25,438.00
Sumitomo Chemical,488.90,506.00,336.10
JBM Auto,"2,062.35","2,428.35",949.85
Century Textile & Industries,"2,181.20","2,278.85",784.00
Ratnamani Metals & Tubes,"3,423.15","3,938.80","2,262.05"
Finolex Cables,"1,566.70","1,595.00",780.50
Cholamandalam Financial Holdings,"1,274.50","1,296.00",855.55
Kaynes Technology,"3,721.35","3,775.00","1,461.10"
Laurus Labs,439.50,471.00,328.15
Angel One,"2,628.60","3,896.00","1,452.00"
Credit Access Grameen,"1,482.65","1,796.00","1,168.70"
Tejas Networks,"1,371.10","1,414.00",651.25
Five Star Business Finance,797.05,876.55,590.00
ICICI Securities,717.80,866.45,506.20
Dr. Lal Path Labs,"2,777.65","2,889.00","1,943.70"
Radico Khaitan,"1,726.00","1,885.10","1,141.25"
Kansai Nerolac Paints,283.20,357.30,251.85
Whirlpool,"1,794.80","1,837.80","1,186.10"
KEC International,868.60,871.20,543.25
CIE Automotive,580.05,586.90,406.80
CDSL,"2,102.00","2,239.00",985.00
Devyani International,179.98,227.50,142.25
PNB Housing Finance,832.30,913.70,558.00
Cyient,"1,906.30","2,458.95","1,392.10"
Natco Pharma,"1,176.45","1,189.00",618.65
Elgi Equipments,657.85,714.20,463.00
Finolex Industries,335.80,355.90,170.05
Kajaria Ceramics,"1,294.10","1,523.80","1,110.35"
Sobha,"2,162.25","2,220.00",521.45
Ramco Cements,866.25,"1,058.20",700.00
Nagarjuna Construction Company,325.75,336.70,117.40
Trident,40.03,52.90,31.60
Piramal Pharma,153.40,166.70,87.21
Godfrey Phillips,"3,859.70","4,288.00","1,620.00"
Castrol,202.50,230.40,117.90
